Genus,Size,Bleached,Dead,Site,Transect,Count,TransectLength
Acropora,42,0,100,LTER_Exp,1,1,15
Acropora,12,0,0,LTER_Exp,1,1,15
Acropora,17,0,0,LTER_Exp,1,1,15
Acropora,17,0,0,LTER_Exp,1,1,15
Acropora,21,0,100,LTER_Exp,1,1,15
Acropora,22,0,0,LTER_Exp,1,1,15
Acropora,22,0,10,LTER_Exp,1,1,15
Acropora,22,0,100,LTER_Exp,1,1,15
Acropora,25,0,0,LTER_Exp,1,1,15
Acropora,25,0,0,LTER_Exp,1,1,15
Acropora,26,0,0,LTER_Exp,1,1,15
Acropora,27,0,0,LTER_Exp,1,1,15
Acropora,28,0,0,LTER_Exp,1,1,15
Acropora,28,0,100,LTER_Exp,1,1,15
Acropora,30,0,100,LTER_Exp,1,1,15
Acropora,31,0,0,LTER_Exp,1,1,15
Acropora,35,0,100,LTER_Exp,2,1,15
Acropora,26,0,0,LTER_Exp,2,1,15
Acropora,12,0,0,LTER_Exp,2,1,15
Acropora,25,0,100,LTER_Exp,2,1,15
Acropora,36,0,100,LTER_Exp,2,1,15
Acropora,13,0,0,LTER_Exp,2,1,15
Acropora,16,0,0,LTER_Exp,2,1,15
Acropora,19,0,100,LTER_Exp,2,1,15
Acropora,22,0,0,LTER_Exp,2,1,15
Acropora,22,0,0,LTER_Exp,2,1,15
Acropora,23,0,0,LTER_Exp,2,1,15
Acropora,23,0,0,LTER_Exp,2,1,15
Acropora,24,0,0,LTER_Exp,2,1,15
Acropora,33,0,0,LTER_Exp,2,1,15
Acropora,37,0,100,LTER_Exp,2,1,15
Acropora,5,0,0,LTER1,1,1,15
Acropora,12,0,0,LTER1,1,1,15
Acropora,15,0,0,LTER1,1,1,15
Acropora,25,0,100,LTER1,1,1,15
Acropora,34,0,100,LTER1,1,1,15
Acropora,9,0,0,LTER1,1,1,15
Acropora,10,0,0,LTER1,1,1,15
Acropora,18,0,100,LTER1,1,1,15
Acropora,22,0,0,LTER1,1,1,15
Acropora,3,0,0,LTER1,1,1,15
Acropora,3,0,0,LTER1,1,1,15
Acropora,3,0,0,LTER1,1,1,15
Acropora,3,0,0,LTER1,1,1,15
Acropora,4,0,0,LTER1,1,1,15
Acropora,5,0,0,LTER1,1,1,15
Acropora,8,0,100,LTER1,1,1,15
Acropora,9,0,100,LTER1,1,1,15
Acropora,9,0,100,LTER1,1,1,15
Acropora,10,0,100,LTER1,1,1,15
Acropora,12,0,100,LTER1,1,1,15
Acropora,24,0,100,LTER1,1,1,15
Acropora,27,0,100,LTER1,1,1,15
Acropora,33,0,100,LTER1,1,1,15
Acropora,40,0,100,LTER1,1,1,15
Acropora,41,0,100,LTER1,1,1,15
Acropora,55,0,100,LTER1,1,1,15
Acropora,3,0,0,LTER1,1,1,15
Acropora,4,0,0,LTER1,1,1,15
Acropora,7,0,0,LTER1,1,1,15
