Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength
KS,LTER_Exp,Pocillopora,28,0,0,1,20
KS,LTER_Exp,Pocillopora,45,30,10,1,20
KS,LTER_Exp,Pocillopora,13,0,0,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,18,0,0,1,20
KS,LTER_Exp,Acropora,29,0,100,1,20
KS,LTER_Exp,Pocillopora,26,0,0,1,20
KS,LTER_Exp,Pocillopora,14,0,0,1,20
KS,LTER_Exp,Pocillopora,27,0,100,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,24,0,100,1,20
KS,LTER_Exp,Pocillopora,14,0,0,1,20
KS,LTER_Exp,Pocillopora,21,0,0,1,20
KS,LTER_Exp,Acropora,25,50,40,1,20
KS,LTER_Exp,Pocillopora,26,0,100,1,20
KS,LTER_Exp,Pocillopora,38,0,75,1,20
KS,LTER_Exp,Pocillopora,35,0,100,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,25,0,100,1,20
KS,LTER_Exp,Pocillopora,41,0,100,1,20
KS,LTER_Exp,Pocillopora,25,0,95,1,20
KS,LTER_Exp,Pocillopora,29,0,100,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,40,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Acropora,14,0,0,1,20
KS,LTER_Exp,Pocillopora,38,0,80,1,20
KS,LTER_Exp,Pocillopora,40,0,80,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,21,0,0,1,20
KS,LTER_Exp,Pocillopora,30,0,85,1,20
KS,LTER_Exp,Pocillopora,47,0,100,1,20
KS,LTER_Exp,Pocillopora,9,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,34,20,20,1,20
KS,LTER_Exp,Pocillopora,24,0,0,1,20
KS,LTER_Exp,Pocillopora,35,0,100,1,20
KS,LTER_Exp,Pocillopora,42,0,85,1,20
KS,LTER_Exp,Pocillopora,45,0,100,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,18,0,0,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,32,0,0,1,20
